,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Provideniya,64.3833,-173.3,11.73,85,99,3.27,RU,1628244960
1,Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.33,62,75,3.0,RU,1628244960
2,Nikolskoye,59.7035,30.7861,20.94,66,55,4.96,RU,1628244960
3,Kibaya,-5.3,36.5667,24.18,37,21,3.15,TZ,1628244961
4,Saskylakh,71.9167,114.0833,15.1,47,100,6.24,RU,1628244961
5,Beira,-19.8436,34.8389,25.05,69,20,2.06,MZ,1628244962
6,Lagoa,39.05,-27.9833,22.07,72,6,8.03,PT,1628244962
7,Lavrentiya,65.5833,-171.0,9.18,92,100,3.17,RU,1628244962
8,Albany,42.6001,-73.9662,17.02,92,1,1.22,US,1628244751
9,Mataura,-46.1927,168.8643,6.93,98,100,1.37,NZ,1628244964
10,Hvittingfoss,59.4833,10.0167,21.03,48,80,0.45,NO,1628244964
11,Magán,39.9683,-3.931,30.83,26,23,5.09,ES,1628244965
12,Touros,-5.1989,-35.4608,23.5,74,97,7.06,BR,1628244966
13,Vaini,-21.2,-175.2,22.09,88,75,4.63,TO,1628244966
14,East London,-33.0153,27.9116,20.52,60,20,7.72,ZA,1628244967
15,Santarém,-2.4431,-54.7083,23.07,100,40,0.0,BR,1628244967
16,Kiama,-34.6833,150.8667,14.65,58,0,4.63,AU,1628244967
17,Ipixuna,-1.7625,-48.8043,24.97,94,6,1.2,BR,1628244968
18,Qinhuangdao,39.9317,119.5883,27.43,78,0,2.7,CN,1628244969
19,Vila,42.0304,-8.1588,14.83,71,19,2.13,PT,1628244969
20,Havelock,34.8791,-76.9013,23.85,96,47,2.62,US,1628244966
21,Bluff,-46.6,168.3333,7.11,86,100,7.34,NZ,1628244970
22,Ushuaia,-54.8,-68.3,1.81,64,40,6.69,AR,1628244895
23,Masty,53.4122,24.5387,15.06,82,99,5.15,BY,1628244970
24,George Town,5.4112,100.3354,31.97,70,20,0.45,MY,1628244971
25,Kapaa,22.0752,-159.319,26.18,82,90,1.34,US,1628244971
26,Westport,41.1415,-73.3579,20.66,97,1,0.45,US,1628244972
27,Avarua,-21.2078,-159.775,21.03,78,100,2.06,CK,1628244972
28,Rikitea,-23.1203,-134.9692,23.2,78,8,6.04,PF,1628244972
29,Massaguet,12.4755,15.4365,23.02,58,95,6.66,TD,1628244973
30,Daru,-9.0763,143.2092,24.52,82,66,7.68,PG,1628244973
31,Punta Arenas,-53.15,-70.9167,1.06,80,75,7.72,CL,1628244764
32,Necochea,-38.5473,-58.7368,7.8,93,2,4.6,AR,1628244974
33,Clyde River,70.4692,-68.5914,3.13,100,90,3.6,CA,1628244974
34,Ayan,56.45,138.1667,12.89,86,98,3.69,RU,1628244975
35,Uíge,-7.6087,15.0613,30.98,31,45,1.47,AO,1628244975
36,Butaritari,3.0707,172.7902,28.79,66,27,5.39,KI,1628244976
37,Paamiut,61.994,-49.6678,6.24,92,73,0.09,GL,1628244976
38,Tuatapere,-46.1333,167.6833,7.12,88,100,2.33,NZ,1628244976
39,Kavaratti,10.5669,72.642,27.91,82,100,10.0,IN,1628244977
40,Bethel,41.3712,-73.414,19.16,93,90,0.0,US,1628244685
41,Ocampo,21.65,-101.5,14.16,86,100,2.5,MX,1628244977
42,Ponta do Sol,32.6667,-17.1,25.4,78,65,1.09,PT,1628244978
43,Thompson,55.7435,-97.8558,6.09,93,90,2.06,CA,1628244780
44,Three Hills,51.7001,-113.2686,16.66,87,100,1.03,CA,1628244978
45,Gisborne,-38.6533,178.0042,9.97,85,100,2.55,NZ,1628244979
46,Malbork,54.0359,19.0266,19.37,65,100,6.27,PL,1628244979
47,Longyearbyen,78.2186,15.6401,7.91,66,40,4.12,SJ,1628244980
48,Chippewa Falls,44.9369,-91.3929,18.32,93,1,0.0,US,1628244850
49,Busselton,-33.65,115.3333,14.01,73,0,3.43,AU,1628244980
50,Bredasdorp,-34.5322,20.0403,17.62,68,75,3.09,ZA,1628244981
51,Lebu,-37.6167,-73.65,10.54,89,100,1.94,CL,1628244981
52,Sitka,57.0531,-135.33,12.94,88,40,1.54,US,1628244982
53,Ust-Nera,64.5667,143.2,15.13,55,12,1.95,RU,1628244982
54,Burns Lake,54.2331,-125.7533,8.68,82,14,1.89,CA,1628244908
55,Los Llanos de Aridane,28.6585,-17.9182,22.29,84,40,5.14,ES,1628244984
56,Cherskiy,68.75,161.3,7.19,82,82,3.57,RU,1628244984
57,Klaksvík,62.2266,-6.589,14.51,96,99,4.93,FO,1628244985
58,Banbury,52.0602,-1.3403,19.26,81,83,1.34,GB,1628244985
59,Province of Siena,43.2167,11.4,28.61,51,2,2.76,IT,1628244986
60,Hohoe,7.1518,0.4736,26.16,75,88,1.99,GH,1628244977
61,Hamilton,39.1834,-84.5333,19.84,93,40,0.0,US,1628244986
62,Xai-Xai,-25.0519,33.6442,28.16,31,0,3.85,MZ,1628244987
63,Ribeira Grande,38.5167,-28.7,25.22,65,20,5.14,PT,1628244987
